X,Y,OCC_YEAR,OCC_MONTH,HOOD_158,NEIGHBOURHOOD_158
-79.24467607,43.7450086800001,2008,February,138,Eglinton East
-79.24467607,43.7450086800001,2008,February,138,Eglinton East
-79.23055871,43.81357225,2008,February,145,Malvern West
-79.21141302,43.7637232600001,2008,February,141,Golfdale-Cedarbrae-Woburn
-79.40976277,43.64839461,2008,February,81,Trinity-Bellwoods
-79.3061987199999,43.6855130100001,2008,February,62,East End-Danforth
-79.45674748,43.7516569300001,2008,February,33,Clanton Park
-79.44662046,43.71891057,2008,March,31,Yorkdale-Glen Park
-79.57031397,43.65192911,2008,March,13,Etobicoke West Mall
-79.34160386,43.6648381000001,2008,March,70,South Riverdale
-79.4458559999999,43.6620584400001,2008,April,171,Junction-Wallace Emerson
-79.46501087,43.6679951200001,2008,April,90,Junction Area
-79.2183105399999,43.74529871,2008,May,139,Scarborough Village
-79.2183105399999,43.74529871,2008,May,139,Scarborough Village
-79.3351890599999,43.7312559100001,2008,May,42,Banbury-Don Mills
-79.3351890599999,43.7312559100001,2008,May,42,Banbury-Don Mills
-79.2139296,43.8105422200001,2008,May,146,Malvern East
-79.29450547,43.78471825,2008,May,118,Tam O'Shanter-Sullivan
-79.5926115199999,43.7165253700001,2008,May,1,West Humber-Clairville
-79.2992832199999,43.7166640900001,2008,May,43,Victoria Village
-79.4094759399999,43.6450070500001,2008,June,162,West Queen West
-79.4094759399999,43.6450070500001,2008,June,162,West Queen West
-79.49375172,43.67166625,2008,June,111,Rockcliffe-Smythe
-79.29731005,43.69651845,2008,June,61,Taylor-Massey
-79.28672612,43.7000781900001,2008,June,120,Clairlea-Birchmount
-79.3126396,43.7503501400001,2008,July,119,Wexford/Maryvale
-79.39459979,43.6892109,2008,July,97,Yonge-St.Clair
-79.19542971,43.7848241400001,2008,July,135,Morningside
-79.1527809,43.79788474,2008,July,143,West Rouge
-79.5459759399999,43.60628309,2008,July,20,Alderwood
-79.5459759399999,43.60628309,2008,July,20,Alderwood
-79.5459759399999,43.60628309,2008,July,20,Alderwood
-79.50901887,43.7150745700001,2008,July,23,Pelmo Park-Humberlea
-79.4771777399999,43.6896633900001,2008,July,110,Keelesdale-Eglinton West
-79.36962756,43.65719355,2008,August,73,Moss Park
-79.43619813,43.64458211,2008,August,86,Roncesvalles
-79.3132388499999,43.6701739700001,2008,August,64,Woodbine Corridor
-79.2572783699999,43.7873864000001,2008,August,128,Agincourt South-Malvern West
-79.35634011,43.64939258,2008,August,166,St Lawrence-East Bayfront-The Islands
-79.44043021,43.76339132,2008,August,35,Westminster-Branson
-79.22668422,43.8051765800001,2008,August,145,Malvern West
-79.40062434,43.6521929300001,2008,August,78,Kensington-Chinatown
-79.37916899,43.7659413000001,2008,September,52,Bayview Village
-79.4694313699999,43.6914207900001,2008,September,112,Beechborough-Greenbrook
-79.54237683,43.75208388,2008,September,21,Humber Summit
-79.4813100499999,43.72272466,2008,September,29,Maple Leaf
-79.5188184099999,43.76191141,2008,September,24,Black Creek
-79.28742463,43.7817280800001,2008,September,128,Agincourt South-Malvern West
-79.5141864999999,43.75546702,2008,September,25,Glenfield-Jane Heights
-79.49021952,43.7347056,2008,September,155,Downsview
-79.5112268,43.6839859500001,2008,October,8,Humber Heights-Westmount
-79.5133460599999,43.7219809600001,2008,October,154,Oakdale-Beverley Heights
-79.39767911,43.63381308,2008,October,163,Fort York-Liberty Village
-79.16677803,43.8075507300001,2008,October,143,West Rouge
-79.16677803,43.8075507300001,2008,October,143,West Rouge
-79.2251593,43.7417866100001,2008,October,139,Scarborough Village
-79.3302206399999,43.6632331100001,2008,October,70,South Riverdale
-79.44012098,43.7540870500001,2008,October,33,Clanton Park
-79.21794077,43.7708032400001,2008,November,135,Morningside
-79.21794077,43.7708032400001,2008,November,135,Morningside
-79.21794077,43.7708032400001,2008,November,135,Morningside
-79.57254805,43.6530211800001,2008,November,11,Eringate-Centennial-West Deane
-79.30979027,43.7421378700001,2008,November,119,Wexford/Maryvale
-79.5088959299999,43.60153166,2008,December,18,New Toronto
-79.47093037,43.69659403,2008,December,112,Beechborough-Greenbrook
-79.2788523899999,43.7327475600001,2008,December,125,Ionview
-79.5529797199999,43.7514332800001,2009,January,21,Humber Summit
-79.3552712599999,43.74093449,2009,January,42,Banbury-Don Mills
-79.3263502999999,43.7179651000001,2009,January,44,Flemingdon Park
-79.4606926499999,43.6706802800001,2009,January,91,Weston-Pelham Park
-79.4743553599999,43.6885126700001,2009,January,110,Keelesdale-Eglinton West
-79.51131176,43.6983365400001,2009,February,113,Weston
-79.20570344,43.7856799400001,2009,February,135,Morningside
-79.5116699399999,43.7660358000001,2009,February,24,Black Creek
-79.4771777399999,43.6896633900001,2009,February,112,Beechborough-Greenbrook
-79.2762837,43.7532209400001,2009,February,126,Dorset Park
-79.5288374,43.7587783800001,2009,March,24,Black Creek
-79.26315887,43.7268750800001,2009,April,124,Kennedy Park
-79.33416873,43.66585365,2009,April,70,South Riverdale
-79.4724159899999,43.6839916000001,2009,April,110,Keelesdale-Eglinton West
