EVENT_UNIQUE_ID,HOOD_158,NEIGHBOURHOOD_158,X,Y,PRIMARY_OFFENCE,REPORT_YEAR,REPORT_MONTH
GO-20141904285,56,Leaside-Bennington,-79.362956147,43.7040478970001,THEFT UNDER,2014,April
GO-20141904833,24,Black Creek,-79.509776771,43.760453672,THEFT UNDER,2014,April
GO-20141902305,71,Cabbagetown-South St.James Town,-79.3695583209999,43.6681684600001,THEFT UNDER,2014,April
GO-20141908212,79,University,-79.401277103,43.663232973,THEFT UNDER,2014,April
GO-20149002899,81,Trinity-Bellwoods,-79.406612755,43.6521856260001,THEFT UNDER,2014,April
GO-20149002898,78,Kensington-Chinatown,-79.389980271,43.65869503,THEFT UNDER,2014,April
GO-20141908304,168,Downtown Yonge East,-79.37814596,43.6544494460001,THEFT UNDER,2014,April
GO-20141909069,86,Roncesvalles,-79.4398595929999,43.639944981,THEFT UNDER,2014,April
GO-20149002917,78,Kensington-Chinatown,-79.396160949,43.6533407000001,THEFT UNDER,2014,April
GO-20149002918,74,North St.James Town,-79.379902092,43.6699677940001,THEFT UNDER,2014,April
GO-20149002915,67,Playter Estates-Danforth,-79.361486374,43.6793008920001,THEFT UNDER,2014,April
GO-20149002904,100,Yonge-Eglinton,-79.3983628509999,43.7067258010001,THEFT UNDER,2014,April
GO-20149002922,170,Yonge-Bay Corridor,-79.383574939,43.647918186,THEFT UNDER,2014,April
GO-20141919532,94,Wychwood,-79.4327471399999,43.671233897,THEFT UNDER,2014,April
GO-20141920786,98,Rosedale-Moore Park,-79.3949327719999,43.690192901,THEFT UNDER,2014,April
GO-20141922632,168,Downtown Yonge East,-79.380831674,43.659354245,THEFT UNDER,2014,April
GO-20141919782,88,High Park North,-79.467158825,43.6537869480001,THEFT UNDER,2014,April
GO-20141926054,167,Church-Wellesley,-79.3807192629999,43.6635544370001,THEFT UNDER,2014,April
GO-20141926669,164,Wellington Place,-79.390582524,43.6469238670001,THEFT UNDER,2014,April
GO-20149002953,68,North Riverdale,-79.344450647,43.6765191110001,THEFT UNDER,2014,April
GO-20149002951,56,Leaside-Bennington,-79.373551092,43.708839423,THEFT UNDER,2014,April
GO-20149002950,163,Fort York-Liberty Village,-79.4197487439999,43.6361816570001,THEFT UNDER,2014,April
GO-20141933079,160,Mimico-Queensway,-79.491650597,43.6208302320001,THEFT UNDER,2014,April
GO-20141941479,52,Bayview Village,-79.365547937,43.771494703,PROPERTY - FOUND,2014,April
GO-20141936846,170,Yonge-Bay Corridor,-79.380755468,43.6521200970001,THEFT UNDER,2014,April
GO-20141936048,162,West Queen West,-79.416299806,43.6447194190001,THEFT UNDER,2014,April
GO-20149002956,171,Junction-Wallace Emerson,-79.447744379,43.6597733450001,THEFT UNDER,2014,April
GO-20149002957,171,Junction-Wallace Emerson,-79.4371132319999,43.670704179,THEFT UNDER,2014,April
GO-20141937706,171,Junction-Wallace Emerson,-79.453420309,43.6666031440001,THEFT UNDER,2014,April
GO-20141938068,156,Bendale-Glen Andrew,-79.259169846,43.778438027,THEFT UNDER,2014,April
GO-20149002958,168,Downtown Yonge East,-79.376695774,43.6607709740001,THEFT UNDER,2014,April
GO-20149002959,153,Avondale,-79.4093777909999,43.760325424,THEFT UNDER,2014,April
GO-20149002961,171,Junction-Wallace Emerson,-79.446737244,43.6642708640001,THEFT UNDER,2014,April
GO-20149002973,166,St Lawrence-East Bayfront-The Islands,-79.376277767,43.643793246,THEFT UNDER,2014,April
GO-20141945055,170,Yonge-Bay Corridor,-79.3840568639999,43.6564295470001,THEFT UNDER,2014,April
GO-20141943305,170,Yonge-Bay Corridor,-79.3837625529999,43.6557097780001,THEFT UNDER,2014,April
GO-20141948021,98,Rosedale-Moore Park,-79.389942904,43.688973504,THEFT UNDER,2014,April
GO-20149002998,167,Church-Wellesley,-79.3807192629999,43.6635544370001,THEFT UNDER,2014,April
GO-20141947979,95,Annex,-79.399832827,43.667510694,THEFT UNDER,2014,April
GO-20141948084,79,University,-79.3989795419999,43.6654319830001,THEFT UNDER,2014,April
GO-20141948221,79,University,-79.401277103,43.663232973,THEFT UNDER,2014,April
GO-20141954419,79,University,-79.398441046,43.6641032680001,THEFT UNDER,2014,April
GO-20149002985,62,East End-Danforth,-79.30098909,43.6823856840001,THEFT UNDER,2014,April
