X,Y,OBJECTID,EVENT_UNIQUE_ID,REPORT_DATE,OCC_DATE,REPORT_YEAR,REPORT_MONTH,REPORT_DAY,REPORT_DOY,REPORT_DOW,REPORT_HOUR,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOY,OCC_DOW,OCC_HOUR,DIVISION,LOCATION_TYPE,PREMISES_TYPE,UCR_CODE,UCR_EXT,OFFENCE,MCI_CATEGORY,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84
-79.5718157159999,43.7600209670001,9230,GO-20212442236,2021/12/19 05:00:00+00,2021/12/17 05:00:00+00,2021,December,19,353,Sunday    ,12,2021,December,17,351,Friday    ,16,D31,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,2130,210,Theft Over,Theft Over,21,Humber Summit,21,Humber Summit (21),-79.571815715539,43.7600209674958
-79.380755468,43.6521200970001,9231,GO-20212442991,2021/12/19 05:00:00+00,2021/12/19 05:00:00+00,2021,December,19,353,Sunday    ,14,2021,December,19,353,Sunday    ,14,D52,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2130,210,Theft Over,Theft Over,170,Yonge-Bay Corridor,76,Bay Street Corridor (76),-79.3807554676371,43.6521200974952
-79.5718157159999,43.7600209670001,9232,GO-20212446658,2021/12/20 05:00:00+00,2021/12/17 05:00:00+00,2021,December,20,354,Monday    ,7,2021,December,17,351,Friday    ,18,D31,"Construction Site (Warehouse, Trailer, Shed)",Commercial,2130,210,Theft Over,Theft Over,21,Humber Summit,21,Humber Summit (21),-79.571815715539,43.7600209674958
-79.275746452,43.692958219,9233,GO-20212449544,2021/12/20 05:00:00+00,2021/12/03 05:00:00+00,2021,December,20,354,Monday    ,15,2021,December,3,337,Friday    ,9,D41,"Open Areas (Lakes, Parks, Rivers)",Outside,2130,210,Theft Over,Theft Over,121,Oakridge,121,Oakridge (121),-79.2757464516645,43.6929582189659
-79.5270756579999,43.7167909550001,9234,GO-20212447191,2021/12/20 05:00:00+00,2021/12/19 05:00:00+00,2021,December,20,354,Monday    ,8,2021,December,19,353,Sunday    ,15,D31,"Construction Site (Warehouse, Trailer, Shed)",Commercial,2130,210,Theft Over,Theft Over,154,Oakdale-Beverley Heights,26,Downsview-Roding-CFB (26),-79.5270756583769,43.7167909548162
-79.39087649,43.6994868290001,9235,GO-20212437578,2021/12/21 05:00:00+00,2021/12/18 05:00:00+00,2021,December,21,355,Tuesday   ,5,2021,December,18,352,Saturday  ,11,D53,"Apartment (Rooming House, Condo)",Apartment,2130,210,Theft Over,Theft Over,174,South Eglinton-Davisville,104,Mount Pleasant West (104),-79.390876490078,43.6994868291888
-85.488743885,0.0,9236,GO-20212454421,2021/12/21 05:00:00+00,2021/12/21 05:00:00+00,2021,December,21,355,Tuesday   ,10,2021,December,21,355,Tuesday   ,1,D33,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2132,200,Theft From Motor Vehicle Over,Theft Over,NSA,NSA,NSA,NSA,-85.4887438847069,0
-79.428182646,43.6532212710001,9237,GO-20212461967,2021/12/22 05:00:00+00,2021/12/22 05:00:00+00,2021,December,22,356,Wednesday ,14,2021,December,22,356,Wednesday ,12,D14,"Apartment (Rooming House, Condo)",Apartment,2130,200,Theft From Mail / Bag / Key,Theft Over,83,Dufferin Grove,83,Dufferin Grove (83),-79.4281826458108,43.6532212708825
-79.444296128,43.6675653790001,9238,GO-20212463048,2021/12/22 05:00:00+00,2021/12/22 05:00:00+00,2021,December,22,356,Wednesday ,16,2021,December,22,356,Wednesday ,15,D11,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2130,210,Theft Over,Theft Over,171,Junction-Wallace Emerson,93,Dovercourt-Wallace Emerson-Junction (93),-79.4442961284269,43.6675653787152
-79.412973337,43.6695888850001,9239,GO-20212455185,2021/12/22 05:00:00+00,2021/12/17 05:00:00+00,2021,December,22,356,Wednesday ,18,2021,December,17,351,Friday    ,0,D14,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2130,200,Theft From Mail / Bag / Key,Theft Over,95,Annex,95,Annex (95),-79.412973337443,43.669588885035
-79.412800819,43.6412447710001,9240,GO-20219037771,2021/12/22 05:00:00+00,2021/12/21 05:00:00+00,2021,December,22,356,Wednesday ,14,2021,December,21,355,Tuesday   ,18,D14,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,162,West Queen West,82,Niagara (82),-79.4128008191239,43.6412447711685
-79.377210868,43.6635929650001,9241,GO-20219037684,2021/12/23 05:00:00+00,2021/12/16 05:00:00+00,2021,December,23,357,Thursday  ,18,2021,December,16,350,Thursday  ,12,D51,"Apartment (Rooming House, Condo)",Apartment,2130,200,Theft From Mail / Bag / Key,Theft Over,71,Cabbagetown-South St.James Town,71,Cabbagetown-South St.James Town (71),-79.3772108676691,43.6635929654536
-79.400096156,43.645834689,9242,GO-20212473591,2021/12/24 05:00:00+00,2021/12/10 05:00:00+00,2021,December,24,358,Friday    ,6,2021,December,10,344,Friday    ,3,D14,Bar / Restaurant,Commercial,2130,210,Theft Over,Theft Over,164,Wellington Place,77,Waterfront Communities-The Island (77),-79.4000961563173,43.6458346888081
-79.587300969,43.6895102730001,9243,GO-20212480782,2021/12/25 05:00:00+00,2021/09/24 04:00:00+00,2021,December,25,359,Saturday  ,12,2021,September,24,267,Friday    ,13,D23,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,1,West Humber-Clairville,1,West Humber-Clairville (1),-79.5873009688012,43.6895102727294
-79.343356574,43.775006004,9244,GO-20212485370,2021/12/26 05:00:00+00,2021/12/25 05:00:00+00,2021,December,26,360,Sunday    ,11,2021,December,25,359,Saturday  ,23,D33,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,53,Henry Farm,53,Henry Farm (53),-79.3433565743483,43.7750060042097
-79.573000954,43.702573812,9245,GO-20212487020,2021/12/26 05:00:00+00,2021/12/14 05:00:00+00,2021,December,26,360,Sunday    ,17,2021,December,14,348,Tuesday   ,13,D23,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2130,210,Theft Over,Theft Over,1,West Humber-Clairville,1,West Humber-Clairville (1),-79.5730009541078,43.7025738121045
