EVENT_UNIQUE_ID,HOOD_158,NEIGHBOURHOOD_158,X,Y,REPORT_YEAR,REPORT_MONTH,OFFENCE,MCI_CATEGORY
GO-20141401446,22,Humbermede,-79.54160509,43.7482274440001,2014,January,Robbery - Mugging,Robbery
GO-20141403754,119,Wexford/Maryvale,-79.313018316,43.7657147640001,2014,January,Robbery - Swarming,Robbery
GO-20141404155,149,Parkwoods-O'Connor Hills,-79.314236966,43.7414925,2014,January,Robbery - Mugging,Robbery
GO-20141404789,129,Agincourt North,-79.2683390569999,43.8142507700001,2014,January,Robbery With Weapon,Robbery
GO-20141405200,25,Glenfield-Jane Heights,-79.520041697,43.749634267,2014,January,Robbery - Business,Robbery
GO-20141400850,73,Moss Park,-79.374451063,43.6601961800001,2014,January,Robbery With Weapon,Robbery
GO-20141410947,118,Tam O'Shanter-Sullivan,-79.3230136029999,43.775238431,2014,January,Robbery - Mugging,Robbery
GO-20141410683,154,Oakdale-Beverley Heights,-79.510422379,43.7247661370001,2014,January,Robbery - Mugging,Robbery
GO-20141406579,162,West Queen West,-79.416636664,43.641105817,2014,January,Robbery - Business,Robbery
GO-20141406033,111,Rockcliffe-Smythe,-79.4941578089999,43.672580526,2014,January,Robbery - Mugging,Robbery
GO-20141406662,170,Yonge-Bay Corridor,-79.3837625529999,43.6557097780001,2014,January,Robbery - Mugging,Robbery
GO-20141408214,138,Eglinton East,-79.239294328,43.7405839690001,2014,January,Robbery - Mugging,Robbery
GO-20141409226,6,Kingsview Village-The Westway,-79.54996381,43.6997873290001,2014,January,Robbery - Other,Robbery
GO-20141414147,86,Roncesvalles,-79.449723064,43.648048676,2014,January,Robbery - Mugging,Robbery
GO-20141414347,64,Woodbine Corridor,-79.317173339,43.6847319450001,2014,January,Robbery - Other,Robbery
GO-20141414817,61,Taylor-Massey,-79.291706544,43.6957105290001,2014,January,Robbery - Other,Robbery
GO-20141415586,86,Roncesvalles,-79.448817699,43.647310927,2014,January,Robbery - Business,Robbery
GO-20141412367,61,Taylor-Massey,-79.2914842979999,43.6905025880001,2014,January,Robbery With Weapon,Robbery
GO-20141414053,141,Golfdale-Cedarbrae-Woburn,-79.235263903,43.7577156730001,2014,January,Robbery - Mugging,Robbery
GO-20141414115,4,Rexdale-Kipling,-79.572907361,43.729201334,2014,January,Robbery - Financial Institute,Robbery
GO-20141415521,103,Lawrence Park South,-79.410070143,43.7051447210001,2014,January,Robbery With Weapon,Robbery
GO-20141415284,120,Clairlea-Birchmount,-79.278760112,43.712569994,2014,January,Robbery - Mugging,Robbery
GO-20141415256,103,Lawrence Park South,-79.412201715,43.705571766,2014,January,Robbery - Mugging,Robbery
GO-20141414440,47,Don Valley Village,-79.3456945619999,43.7803963960001,2014,January,Robbery - Purse Snatch,Robbery
GO-20141419158,2,Mount Olive-Silverstone-Jamestown,-79.582606716,43.7339637640001,2014,January,Robbery - Other,Robbery
GO-20141419912,129,Agincourt North,-79.262772575,43.808819257,2014,January,Robbery - Other,Robbery
GO-20141420255,173,North Toronto,-79.398993778,43.709577154,2014,January,Robbery - Mugging,Robbery
GO-20141421698,3,Thistletown-Beaumond Heights,-79.565301795,43.737230605,2014,January,Robbery - Purse Snatch,Robbery
GO-20141420403,151,Yonge-Doris,-79.4111526039999,43.7623459810001,2014,January,Robbery - Financial Institute,Robbery
GO-20141421794,63,The Beaches,-79.285064608,43.680714031,2014,January,Robbery With Weapon,Robbery
GO-20141419596,3,Thistletown-Beaumond Heights,-79.58211226,43.743257488,2014,January,Robbery - Mugging,Robbery
GO-20141421281,32,Englemount-Lawrence,-79.4412427679999,43.729434274,2014,January,Robbery - Swarming,Robbery
GO-20141426571,87,High Park-Swansea,-79.480466067,43.6501995740001,2014,January,Robbery - Other,Robbery
GO-20141423016,73,Moss Park,-79.3688916359999,43.6554098230001,2014,January,Robbery - Mugging,Robbery
GO-20141422329,27,York University Heights,-79.4900783149999,43.759822275,2014,January,Robbery - Business,Robbery
GO-20141427559,73,Moss Park,-79.373561549,43.6609365150001,2014,January,Robbery - Mugging,Robbery
