EVENT_UNIQUE_ID,HOOD_158,NEIGHBOURHOOD_158,X,Y,REPORT_YEAR,REPORT_MONTH
GO-2005739592,78,Kensington-Chinatown,-79.3987953279999,43.6493402990001,2005,August
GO-20051180813,24,Black Creek,-79.524283372,43.7559224460001,2005,August
GO-2005919556,113,Weston,-79.505932715,43.698841981,2005,January
GO-2005974161,24,Black Creek,-79.518758927,43.769157185,2005,June
GO-2005805940,25,Glenfield-Jane Heights,-79.518120908,43.7544785330001,2005,May
GO-20051070044,18,New Toronto,-79.5052709289999,43.600755625,2005,July
GO-20051231037,154,Oakdale-Beverley Heights,-79.508630629,43.720909181,2005,July
GO-20051016691,31,Yorkdale-Glen Park,-79.450504942,43.7206552980001,2005,March
GO-20051217216,170,Yonge-Bay Corridor,-79.387134096,43.6499002200001,2005,September
GO-20051079673,146,Malvern East,-79.2119640929999,43.8033296250001,2005,August
GO-2005799672,161,Humber Bay Shores,-79.488228232,43.6157307780001,2005,April
GO-2005963484,141,Golfdale-Cedarbrae-Woburn,-79.229899011,43.7736435,2005,May
GO-20051196223,28,Rustic,-79.507221117,43.715450208,2005,August
GO-20051259947,144,Morningside Heights,-79.211034782,43.8164449280001,2005,October
GO-2005918414,74,North St.James Town,-79.373774283,43.6672891530001,2005,February
GO-20051000234,25,Glenfield-Jane Heights,-79.5104455809999,43.7492207270001,2005,July
GO-20051054082,25,Glenfield-Jane Heights,-79.504746886,43.743794237,2005,May
GO-20051086009,172,Dovercourt Village,-79.4384045689999,43.6669563470001,2005,June
GO-20051085328,32,Englemount-Lawrence,-79.441320417,43.720816116,2005,July
GO-20051354230,164,Wellington Place,-79.388680294,43.648193862,2005,October
GO-2005813080,91,Weston-Pelham Park,-79.458765677,43.6685971570001,2005,July
GO-2005795636,171,Junction-Wallace Emerson,-79.445453051,43.6673256290001,2005,August
GO-2005988453,136,West Hill,-79.193052585,43.758160065,2005,May
GO-20051166412,29,Maple Leaf,-79.479669708,43.721856368,2005,September
GO-2005838233,146,Malvern East,-79.227811932,43.7941502900001,2005,April
GO-20051345445,108,Briar Hill-Belgravia,-79.4427897469999,43.6972959830001,2005,November
GO-2005823741,1,West Humber-Clairville,-79.60100977,43.7325147970001,2005,September
GO-20051028610,28,Rustic,-79.5047534079999,43.715734723,2005,June
GO-2005774710,97,Yonge-St.Clair,-79.3972583029999,43.6946506900001,2005,January
GO-20051290605,54,O'Connor-Parkview,-79.310622023,43.7137981380001,2005,October
GO-20051297290,44,Flemingdon Park,-79.3285269739999,43.7190244000001,2005,November
GO-20051030464,73,Moss Park,-79.369627564,43.6571935540001,2005,March
GO-20051064463,126,Dorset Park,-79.2794542889999,43.761292198,2005,February
GO-2005772582,25,Glenfield-Jane Heights,-79.499769909,43.7401966670001,2005,January
GO-2005743293,164,Wellington Place,-79.388680294,43.648193862,2005,March
GO-2005773453,164,Wellington Place,-79.388515145,43.6492174800001,2005,January
GO-20051108904,61,Taylor-Massey,-79.29722457,43.693535974,2005,August
GO-20051238536,138,Eglinton East,-79.243738331,43.7376258960001,2005,December
GO-2005968835,148,East L'Amoreaux,-79.302433735,43.797212825,2005,March
GO-20051443627,16,Stonegate-Queensway,-79.51168587,43.624334822,2005,January
GO-20051013463,1,West Humber-Clairville,-79.606714299,43.7337160110001,2005,March
GO-2005993468,123,Cliffcrest,-79.235198227,43.7227089240001,2005,March
GO-2005744588,16,Stonegate-Queensway,-79.515557198,43.625487096,2005,June
GO-20051414850,154,Oakdale-Beverley Heights,-79.513796554,43.7198240860001,2005,December
GO-2005774096,126,Dorset Park,-79.286809357,43.760910112,2005,June
GO-2005773526,57,Broadview North,-79.350868657,43.6879637580001,2005,March
GO-2005847703,2,Mount Olive-Silverstone-Jamestown,-79.594206903,43.741918712,2005,July
GO-2005743823,24,Black Creek,-79.514763739,43.76720514,2005,March
GO-20051034499,120,Clairlea-Birchmount,-79.2784121189999,43.7230349480001,2005,July
GO-20051023674,53,Henry Farm,-79.337571608,43.7694696680001,2005,April
GO-20051325246,2,Mount Olive-Silverstone-Jamestown,-79.588530399,43.7386883240001,2005,October
GO-2005776264,147,L'Amoreaux West,-79.331730941,43.7985103240001,2005,August
GO-2005946945,24,Black Creek,-79.5165807829999,43.7604331300001,2005,March
GO-2005860182,90,Junction Area,-79.47407222,43.6788930530001,2005,January
GO-20051242536,47,Don Valley Village,-79.363917273,43.7716669920001,2005,November
GO-20051033500,118,Tam O'Shanter-Sullivan,-79.293459174,43.782111037,2005,July
GO-20051119487,109,Caledonia-Fairbank,-79.455095114,43.6946194510001,2005,July
GO-2005873262,116,Steeles,-79.31767215,43.8188041990001,2005,January
GO-2005953782,149,Parkwoods-O'Connor Hills,-79.313608328,43.7440226350001,2005,March
GO-2005962362,157,Bendale South,-79.265049082,43.7515155620001,2005,August
GO-20051268235,136,West Hill,-79.184878452,43.764861825,2005,November
GO-2005985817,8,Humber Heights-Westmount,-79.520585313,43.695813812,2005,August
GO-20051055377,28,Rustic,-79.504401768,43.7051528550001,2005,June
GO-20051156513,5,Elms-Old Rexdale,-79.5495337419999,43.7276430490001,2005,September
GO-20051172430,23,Pelmo Park-Humberlea,-79.524029281,43.713684653,2005,July
GO-20051017308,116,Steeles,-79.336313336,43.8040795540001,2005,March
GO-20051059938,110,Keelesdale-Eglinton West,-79.465459116,43.682302022,2005,June
GO-20051141661,170,Yonge-Bay Corridor,-79.387578377,43.6531016960001,2005,July
GO-20051059962,111,Rockcliffe-Smythe,-79.4821350299999,43.6806258190001,2005,July
GO-2005743846,24,Black Creek,-79.509776771,43.760453672,2005,July
GO-2005985784,1,West Humber-Clairville,-79.606593109,43.7317988500001,2005,June
GO-2005954900,135,Morningside,-79.2049723489999,43.7825951350001,2005,April
GO-20051166679,18,New Toronto,-79.507283851,43.6025305000001,2005,August
GO-2005858628,72,Regent Park,-79.364034365,43.662581549,2005,July
GO-20051166826,111,Rockcliffe-Smythe,-79.4821350299999,43.6806258190001,2005,August
GO-2005805999,25,Glenfield-Jane Heights,-79.51721486,43.7506048700001,2005,September
GO-20051442304,146,Malvern East,-79.21432149,43.806589203,2005,December
GO-2005755933,84,Little Portugal,-79.4325122719999,43.6500844940001,2005,September
GO-20051084815,154,Oakdale-Beverley Heights,-79.509603463,43.7248876080001,2005,May
GO-20051018414,1,West Humber-Clairville,-79.603911554,43.7436341850001,2005,April
GO-2005739652,21,Humber Summit,-79.552979721,43.751433284,2005,April
GO-20051514521,24,Black Creek,-79.518758927,43.769157185,2005,December
GO-2005863844,128,Agincourt South-Malvern West,-79.2452461619999,43.783248315,2005,May
GO-20051339285,65,Greenwood-Coxwell,-79.321450893,43.6656813480001,2005,November
GO-2005884190,122,Birchcliffe-Cliffside,-79.28125575,43.6853064690001,2005,April
GO-2005901779,139,Scarborough Village,-79.218910179,43.743175889,2005,February
GO-20051101797,170,Yonge-Bay Corridor,-79.387578377,43.6531016960001,2005,September
GO-2005761483,58,Old East York,-79.34954822,43.6913619110001,2005,March
GO-20051042368,171,Junction-Wallace Emerson,-79.446737244,43.6642708640001,2005,June
GO-20051185571,25,Glenfield-Jane Heights,-79.523498369,43.7490375400001,2005,August
GO-20051241153,24,Black Creek,-79.5152277779999,43.7681488160001,2005,November
GO-2005975202,154,Oakdale-Beverley Heights,-79.508121672,43.727989178,2005,May
GO-2005868853,11,Eringate-Centennial-West Deane,-79.5647905289999,43.655749541,2005,May
GO-20051223946,24,Black Creek,-79.520698695,43.7567260210001,2005,September
GO-20051421294,159,Etobicoke City Centre,-79.560271293,43.6094130710001,2005,November
GO-2005739574,171,Junction-Wallace Emerson,-79.435362171,43.6598775910001,2005,May
GO-20051040265,2,Mount Olive-Silverstone-Jamestown,-79.594206903,43.741918712,2005,June
GO-2005783530,18,New Toronto,-79.507479458,43.60299767,2005,September
GO-20051156816,71,Cabbagetown-South St.James Town,-79.374680287,43.6670883300001,2005,August
GO-2005739593,162,West Queen West,-79.409798818,43.6438721690001,2005,August
GO-2005832576,73,Moss Park,-79.3713529789999,43.6590671610001,2005,February
GO-20051154125,118,Tam O'Shanter-Sullivan,-79.299344595,43.7835887050001,2005,July
GO-20051017873,78,Kensington-Chinatown,-79.389221231,43.654678161,2005,April
GO-2005761112,25,Glenfield-Jane Heights,-79.516074535,43.7507307820001,2005,June
GO-20051096487,25,Glenfield-Jane Heights,-79.514403702,43.7441122700001,2005,August
GO-20051098230,164,Wellington Place,-79.39428579,43.648648855,2005,August
GO-2005736703,7,Willowridge-Martingrove-Richview,-79.5660148009999,43.674783828,2005,May
GO-20051356100,150,Fenside-Parkwoods,-79.3352992069999,43.7625832430001,2005,November
GO-2005772597,25,Glenfield-Jane Heights,-79.515124825,43.7470881450001,2005,April
GO-20051056629,38,Lansing-Westgate,-79.431812701,43.7464970190001,2005,May
GO-2005794639,66,Danforth,-79.331502529,43.6825592920001,2005,June
GO-2005952369,24,Black Creek,-79.514763739,43.76720514,2005,June
GO-20051167602,25,Glenfield-Jane Heights,-79.526902317,43.755306358,2005,July
GO-20051428567,171,Junction-Wallace Emerson,-79.448165051,43.6596824160001,2005,November
GO-2005941352,6,Kingsview Village-The Westway,-79.554057475,43.6953347570001,2005,June
GO-20051017403,21,Humber Summit,-79.552979721,43.751433284,2005,March
